image_key,NS,SC-ENLP,SC-MAD,SC-SOL,SU-BBAR,SU-BCOR,SU-BOL,SU-BOTH,SU-COB,SU-CONBIO,SU-ENLP,SU-MAD,SU-PEBGRAV,SU-ROK,SU-SAMU,SU-SOL,<NA>,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,SubstConc (17-7-19),IMAGE_NO,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,depth,OV_group,OV_CAT
015_0010,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:10,IN2018_V06_015,fished,1cx,Pedra,53,147.0981684,-44.2605959,Rock,10,3.126,NA,QT,2,84,emed,731.0611111,Other,No rubble or matrix
015_0011,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:10,IN2018_V06_015,fished,1cx,Pedra,53,147.0981552,-44.26063978,Rock,11,4.636,148,QT,1,148,emed,732.495,Other,No rubble or matrix
015_0013,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:10,IN2018_V06_015,fished,1cx,Pedra,53,147.0981163,-44.26072807,Rock,13,2.498,20,QT,1,20,emed,730.905,Other,No rubble or matrix
015_0020,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:11,IN2018_V06_015,fished,1cx,Pedra,53,147.098045,-44.26095782,Rock,20,4.158,NA,QT,2,116,emed,737.3,Other,No rubble or matrix
015_0028,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:12,IN2018_V06_015,fished,1cx,Pedra,53,147.0980176,-44.26104855,Rock,28,6.615,NA,QT,2,180,emed,736.6,Other,No rubble or matrix
015_0029,0,0,0,0,0,0,0,6.896551724137931,0,3.4482758620689653,0,0,0,89.65517241379311,0,0,NA,25/11/2018 5:12,IN2018_V06_015,fished,1cx,Pedra,53,147.0980163,-44.2610519,Rock,29,5.737,52,QT,1,52,emed,735.7,Rubble,Isolated fragments/ clumps
015_0036,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:12,IN2018_V06_015,fished,1cx,Pedra,53,147.0979798,-44.26119595,Rock,36,2.627,100,QT,1,100,emed,738.5,Other,No rubble or matrix
015_0046,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:13,IN2018_V06_015,fished,1cx,Pedra,53,147.0979348,-44.26143018,Rock,46,5.975,36,QT,1,36,emed,744.4,Other,No rubble or matrix
015_0048,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:14,IN2018_V06_015,fished,1cx,Pedra,53,147.0979224,-44.26149361,Rock,48,2.697,NA,QT,2,132,emed,745.31,Other,No rubble or matrix
015_0055,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:14,IN2018_V06_015,fished,1cx,Pedra,53,147.0978809,-44.26167243,Rock,55,5.195,NA,QT,2,4,emed,749.0888889,Other,No rubble or matrix
015_0062,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:15,IN2018_V06_015,fished,1cx,Pedra,53,147.097839,-44.26191064,Rock,62,8.129,68,QT,1,68,emed,754.2,Other,No rubble or matrix
015_0068,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:16,IN2018_V06_015,fished,1cx,Pedra,53,147.0978137,-44.26211313,Rock,68,6.36,92,QT,1,92,emed,761.9,Other,No rubble or matrix
015_0078,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:18,IN2018_V06_015,fished,1cx,Pedra,53,147.0977785,-44.26249383,Rock,78,11.481,NA,QT,2,156,emed,776.41875,Other,No rubble or matrix
015_0079,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:18,IN2018_V06_015,fished,1cx,Pedra,53,147.0977714,-44.26255023,Rock,79,7.79,28,QT,1,28,emed,779.2333333,Other,No rubble or matrix
015_0085,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:18,IN2018_V06_015,fished,1cx,Pedra,53,147.097751,-44.26270599,Rock,85,8.726,124,QT,1,124,emed,781.4833333,Other,No rubble or matrix
015_0093,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:19,IN2018_V06_015,fished,1cx,Pedra,53,147.0976879,-44.26298461,Rock,93,5.648,188,QT,1,188,emed,791.2,Other,No rubble or matrix
015_0095,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:20,IN2018_V06_015,fished,1cx,Pedra,53,147.0976716,-44.26247207,Rock,95,5.177,60,QT,1,60,emed,792.23125,Other,No rubble or matrix
015_0101,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:21,IN2018_V06_015,fished,1cx,Pedra,53,147.0976077,-44.26319588,Rock,101,4.862,108,QT,1,108,emed,798.8,Other,No rubble or matrix
015_0110,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:22,IN2018_V06_015,fished,1cx,Pedra,53,147.0974877,-44.26358852,Rock,110,3.58,172,QT,1,172,emed,806.5,Other,No rubble or matrix
015_0112,0,0,0,0,0,0,3.5714285714285716,0,0,NA,0,0,0,96.42857142857143,0,0,NA,25/11/2018 5:22,IN2018_V06_015,fished,1cx,Pedra,53,147.0974756,-44.26363093,Rock,112,5.693,44,QT,1,44,emed,808.76,Other,No rubble or matrix
015_0118,0,0,0,0,0,0,0,0,0,NA,0,0,0,100,0,0,NA,25/11/2018 5:22,IN2018_V06_015,fished,1cx,Pedra,53,147.0973648,-44.26393024,Rock,118,1.574,140,QT,1,140,emed,813.7555556,Other,No rubble or matrix
