image_key,Black & Octocorals,Brisingid,D.horridus,Enallopsammia,Hydrocorals,Hydrocorals: Branching,Irregular urchins,Madrepora,No-VMEfauna,Regular urchins,S.variabilis,Sponges,Stalked crinoids,Stony corals,Stony corals: Solitary,True anemones: Fourlobed,Unstalked crinoids,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,SubstConc (17-7-19),IMAGE_NO,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,depth,PC_Sub_CoralReef,PC_EnallopMatrix,PC_SolMatrix
025_0017,0,0,0,0,0.11450741004079074,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:01,IN2018_V06_025,fished,1c,Pedra,63,147.0988523,-44.25850176,Rock,17,8.733059281,40,QT,1,40,745.02,0,0,0
025_0046,0,0,0,0,0.4621373947303467,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:04,IN2018_V06_025,fished,1c,Pedra,63,147.0990952,-44.25787181,Rock,46,2.163858652,16,QT,1,16,757,0,0,0
025_0066,0,0,0,0,0.16502558170623938,0,0,0,0,0,0,0.16502558170623938,0,0,NA,0,0,26/11/2018 10:05,IN2018_V06_025,fished,1c,Pedra,63,147.0992726,-44.25735746,Rock,66,6.059666566,32,QT,1,32,777.02,0,0,0
025_0076,0.0832809930336332,0,0,0,0.0832809930336332,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:06,IN2018_V06_025,fished,1c,Pedra,63,147.099312,-44.25711824,Rock,76,12.00754174,64,QT,1,64,788.0666667,0,0,0
025_0086,0.13509739888988256,0,0,0,0.13509739888988256,0,0,0,0,0,0,0.4052921966696477,0,0,NA,0,0,26/11/2018 10:07,IN2018_V06_025,fished,1c,Pedra,63,147.0993386,-44.25684906,Rock,86,7.402067014,12,QT,1,12,797.02,0,0,0
025_0095,0,0,0,0,0.2334839150953282,0,0,0,0,0.4669678301906564,0,0.4669678301906564,0,0,NA,0,0,26/11/2018 10:08,IN2018_V06_025,fished,1c,Pedra,63,147.0993921,-44.2566195,Rock,95,4.282950282,44,QT,1,44,799.3333333,0,0,0
025_0105,0,0,0,0,0.23893607119664131,0,0,0,0,0.23893607119664131,0,0.23893607119664131,0,0,NA,0,0,26/11/2018 10:09,IN2018_V06_025,fished,1c,Pedra,63,147.0994785,-44.25633444,Rock,105,4.1852199,28,QT,1,28,817.0666667,0,0,0
025_0115,0,0,0,0,0.07793453044305125,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:10,IN2018_V06_025,fished,1c,Pedra,63,147.0995811,-44.25605389,Rock,115,12.8312828,60,QT,1,60,819.5444444,0,0,0
025_0174,0,0,0,0,0.12966896433536154,0,0,0,0,0,0,1.1670206790182538,0,0,NA,0,0,26/11/2018 10:15,IN2018_V06_025,fished,1c,Pedra,63,147.1000395,-44.25436039,Rock,174,7.711945608,42,QT,1,42,870.2,0,0,0
025_0184,0.11209342874654547,0,0,0,0.11209342874654547,0,0,0,0,0.11209342874654547,0,0.4483737149861819,0,0,NA,0,0,26/11/2018 10:16,IN2018_V06_025,fished,1c,Pedra,63,147.1001055,-44.25401885,Rock,184,8.921129554,26,QT,1,26,882.65,0,0,0
025_0214,0,0,0,0,0.16174300894015445,0,0,0,0,0,0,1.2939440715212356,0,0,NA,0,0,26/11/2018 10:19,IN2018_V06_025,fished,1c,Pedra,63,147.1002833,-44.25312265,Rock,214,6.182647439,50,QT,1,50,904.2875,0,0,0
025_0233,0.2595470159982351,0,0,0,0.2595470159982351,0,0,0,0,0.5190940319964702,0,2.335923143984116,0,0,NA,0,0,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1004463,-44.25255538,Rock,233,3.852866488,66,QT,1,66,927.9375,0,0,0
025_0243,0,0,0,0,0.17703015416470222,0,0,0,0,0.7081206166588089,0,0,0,0,NA,0,0,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1005066,-44.2522773,Rock,243,5.648755178,14,QT,1,14,933.75,0,0,0
025_0253,0.23042993649581148,0,0,0,0.23042993649581148,0,0,0,0,0,0,1.382579618974869,0,0,NA,0,0,26/11/2018 10:22,IN2018_V06_025,fished,1c,Pedra,63,147.100573,-44.25198588,Rock,253,4.339713907,46,QT,1,46,945.2333333,0,0,0
025_0273,0.3522750599741244,0,0,0,0.0880687649935311,0,0,0,0,0,0,0.1761375299870622,0,0,NA,0,0,26/11/2018 10:24,IN2018_V06_025,fished,1c,Pedra,63,147.1006874,-44.25144723,cobble - boulder,273,11.35476352,62,QT,1,62,961.9888889,0,0,0
025_0283,0,0,0,0,0.1562684228994636,0,0,0,0,0.46880526869839084,0,0.3125368457989272,0,0,NA,0,0,26/11/2018 10:25,IN2018_V06_025,fished,1c,Pedra,63,147.1007329,-44.25118009,Rock,283,6.399245487,22,QT,1,22,974.95,0,0,0
025_0293,0.5344812464503742,0,0,0,0.17816041548345807,0,0,0,0,0.17816041548345807,0,0.17816041548345807,0,0,NA,0,0,26/11/2018 10:26,IN2018_V06_025,fished,1c,Pedra,63,147.1007962,-44.25090958,Rock,293,5.612919106,54,QT,1,54,983.1125,0,0,0
025_0322,0.22006998292798524,0,0,0,0.11003499146399262,0,0,0,0,0.33010497439197783,0,0,0,0.11003499146399262,NA,0,0.11003499146399262,26/11/2018 10:28,IN2018_V06_025,fished,1c,Pedra,63,147.1009803,-44.25008154,Rock,322,9.088018154,9,QT,1,9,1005.116667,0,0,0
025_0332,0.5691543681462007,0,0,0,0.18971812271540026,0,0,0,0,0.5691543681462007,0,0.5691543681462007,0,0,NA,0,0.18971812271540026,26/11/2018 10:29,IN2018_V06_025,fished,1c,Pedra,63,147.1009803,-44.25008154,Rock,332,5.270977731,41,QT,1,41,1007.5,0,0,0
025_0352,3.9150298844535736,0,0,0,0.07386848838591648,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:31,IN2018_V06_025,fished,1c,Pedra,63,147.1009803,-44.25008154,Rock,352,13.53757227,57,QT,1,57,1007.5,0,0,0
025_0371,0.5659304231612029,0,0,0,0.07074130289515036,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:33,IN2018_V06_025,fished,1c,Pedra,63,147.1009803,-44.25008154,Rock,371,14.13601332,49,QT,1,49,1007.5,0,0,0
025_0391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:35,IN2018_V06_025,fished,1c,Pedra,63,147.1009803,-44.25008154,Coral rubble,391,4.512756706,65,QT,1,65,1007.5,0,0,0
025_0401,15.078737596643279,0,0,0,0.1225913625743356,0,0,0,0,0,0,0,0,0,NA,0,0,26/11/2018 10:35,IN2018_V06_025,fished,1c,Pedra,63,147.1009803,-44.25008154,Rock,401,8.157181542,13,QT,1,13,1007.5,0,0,0
