image_key,CONCEPT,Count,Dens,NoTypes,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,SubstConc (17-7-19),IMAGE_NO,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,depth
025_0017,Hydrocorals,1,0.11450741004079074,1,26/11/2018 10:01,IN2018_V06_025,fished,1c,Pedra,63,147.0988523,-44.25850176,Rock,17,8.733059281,40,QT,1,40,NA,745.02
025_0046,Hydrocorals,1,0.4621373947303467,1,26/11/2018 10:04,IN2018_V06_025,fished,1c,Pedra,63,147.0990952,-44.25787181,Rock,46,2.163858652,16,QT,1,16,NA,757
025_0066,Hydrocorals,1,0.16502558170623938,1,26/11/2018 10:05,IN2018_V06_025,fished,1c,Pedra,63,147.0992726,-44.25735746,Rock,66,6.059666566,32,QT,1,32,NA,777.02
025_0066,Sponges,1,0.16502558170623938,1,26/11/2018 10:05,IN2018_V06_025,fished,1c,Pedra,63,147.0992726,-44.25735746,Rock,66,6.059666566,32,QT,1,32,NA,777.02
025_0076,Black & Octocorals,1,0.0832809930336332,1,26/11/2018 10:06,IN2018_V06_025,fished,1c,Pedra,63,147.099312,-44.25711824,Rock,76,12.00754174,64,QT,1,64,NA,788.0666667
025_0076,Hydrocorals,1,0.0832809930336332,1,26/11/2018 10:06,IN2018_V06_025,fished,1c,Pedra,63,147.099312,-44.25711824,Rock,76,12.00754174,64,QT,1,64,NA,788.0666667
025_0086,Black & Octocorals,1,0.13509739888988256,1,26/11/2018 10:07,IN2018_V06_025,fished,1c,Pedra,63,147.0993386,-44.25684906,Rock,86,7.402067014,12,QT,1,12,NA,797.02
025_0086,Hydrocorals,1,0.13509739888988256,1,26/11/2018 10:07,IN2018_V06_025,fished,1c,Pedra,63,147.0993386,-44.25684906,Rock,86,7.402067014,12,QT,1,12,NA,797.02
025_0086,Sponges,3,0.4052921966696477,1,26/11/2018 10:07,IN2018_V06_025,fished,1c,Pedra,63,147.0993386,-44.25684906,Rock,86,7.402067014,12,QT,1,12,NA,797.02
025_0095,Hydrocorals,1,0.2334839150953282,1,26/11/2018 10:08,IN2018_V06_025,fished,1c,Pedra,63,147.0993921,-44.2566195,Rock,95,4.282950282,44,QT,1,44,NA,799.3333333
025_0095,Regular urchins,2,0.4669678301906564,1,26/11/2018 10:08,IN2018_V06_025,fished,1c,Pedra,63,147.0993921,-44.2566195,Rock,95,4.282950282,44,QT,1,44,NA,799.3333333
025_0095,Sponges,2,0.4669678301906564,1,26/11/2018 10:08,IN2018_V06_025,fished,1c,Pedra,63,147.0993921,-44.2566195,Rock,95,4.282950282,44,QT,1,44,NA,799.3333333
025_0105,Hydrocorals,1,0.23893607119664131,1,26/11/2018 10:09,IN2018_V06_025,fished,1c,Pedra,63,147.0994785,-44.25633444,Rock,105,4.1852199,28,QT,1,28,NA,817.0666667
025_0105,Regular urchins,1,0.23893607119664131,1,26/11/2018 10:09,IN2018_V06_025,fished,1c,Pedra,63,147.0994785,-44.25633444,Rock,105,4.1852199,28,QT,1,28,NA,817.0666667
025_0105,Sponges,1,0.23893607119664131,1,26/11/2018 10:09,IN2018_V06_025,fished,1c,Pedra,63,147.0994785,-44.25633444,Rock,105,4.1852199,28,QT,1,28,NA,817.0666667
025_0115,Hydrocorals,1,0.07793453044305125,1,26/11/2018 10:10,IN2018_V06_025,fished,1c,Pedra,63,147.0995811,-44.25605389,Rock,115,12.8312828,60,QT,1,60,NA,819.5444444
025_0174,Hydrocorals,1,0.12966896433536154,1,26/11/2018 10:15,IN2018_V06_025,fished,1c,Pedra,63,147.1000395,-44.25436039,Rock,174,7.711945608,42,QT,1,42,NA,870.2
025_0174,Sponges,9,1.1670206790182538,1,26/11/2018 10:15,IN2018_V06_025,fished,1c,Pedra,63,147.1000395,-44.25436039,Rock,174,7.711945608,42,QT,1,42,NA,870.2
025_0184,Black & Octocorals,1,0.11209342874654547,1,26/11/2018 10:16,IN2018_V06_025,fished,1c,Pedra,63,147.1001055,-44.25401885,Rock,184,8.921129554,26,QT,1,26,NA,882.65
025_0184,Hydrocorals,1,0.11209342874654547,1,26/11/2018 10:16,IN2018_V06_025,fished,1c,Pedra,63,147.1001055,-44.25401885,Rock,184,8.921129554,26,QT,1,26,NA,882.65
025_0184,Regular urchins,1,0.11209342874654547,1,26/11/2018 10:16,IN2018_V06_025,fished,1c,Pedra,63,147.1001055,-44.25401885,Rock,184,8.921129554,26,QT,1,26,NA,882.65
025_0184,Sponges,4,0.4483737149861819,1,26/11/2018 10:16,IN2018_V06_025,fished,1c,Pedra,63,147.1001055,-44.25401885,Rock,184,8.921129554,26,QT,1,26,NA,882.65
025_0214,Hydrocorals,1,0.16174300894015445,1,26/11/2018 10:19,IN2018_V06_025,fished,1c,Pedra,63,147.1002833,-44.25312265,Rock,214,6.182647439,50,QT,1,50,NA,904.2875
025_0214,Sponges,8,1.2939440715212356,1,26/11/2018 10:19,IN2018_V06_025,fished,1c,Pedra,63,147.1002833,-44.25312265,Rock,214,6.182647439,50,QT,1,50,NA,904.2875
025_0233,Black & Octocorals,1,0.2595470159982351,1,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1004463,-44.25255538,Rock,233,3.852866488,66,QT,1,66,NA,927.9375
025_0233,Hydrocorals,1,0.2595470159982351,1,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1004463,-44.25255538,Rock,233,3.852866488,66,QT,1,66,NA,927.9375
025_0233,Regular urchins,2,0.5190940319964702,1,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1004463,-44.25255538,Rock,233,3.852866488,66,QT,1,66,NA,927.9375
025_0233,Sponges,9,2.335923143984116,1,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1004463,-44.25255538,Rock,233,3.852866488,66,QT,1,66,NA,927.9375
025_0243,Hydrocorals,1,0.17703015416470222,1,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1005066,-44.2522773,Rock,243,5.648755178,14,QT,1,14,NA,933.75
025_0243,Regular urchins,4,0.7081206166588089,1,26/11/2018 10:21,IN2018_V06_025,fished,1c,Pedra,63,147.1005066,-44.2522773,Rock,243,5.648755178,14,QT,1,14,NA,933.75
025_0253,Black & Octocorals,1,0.23042993649581148,1,26/11/2018 10:22,IN2018_V06_025,fished,1c,Pedra,63,147.100573,-44.25198588,Rock,253,4.339713907,46,QT,1,46,NA,945.2333333
025_0253,Hydrocorals,1,0.23042993649581148,1,26/11/2018 10:22,IN2018_V06_025,fished,1c,Pedra,63,147.100573,-44.25198588,Rock,253,4.339713907,46,QT,1,46,NA,945.2333333
025_0253,Sponges,6,1.382579618974869,1,26/11/2018 10:22,IN2018_V06_025,fished,1c,Pedra,63,147.100573,-44.25198588,Rock,253,4.339713907,46,QT,1,46,NA,945.2333333
025_0273,Black & Octocorals,4,0.3522750599741244,1,26/11/2018 10:24,IN2018_V06_025,fished,1c,Pedra,63,147.1006874,-44.25144723,cobble - boulder,273,11.35476352,62,QT,1,62,NA,961.9888889
025_0273,Hydrocorals,1,0.0880687649935311,1,26/11/2018 10:24,IN2018_V06_025,fished,1c,Pedra,63,147.1006874,-44.25144723,cobble - boulder,273,11.35476352,62,QT,1,62,NA,961.9888889
025_0273,Sponges,2,0.1761375299870622,1,26/11/2018 10:24,IN2018_V06_025,fished,1c,Pedra,63,147.1006874,-44.25144723,cobble - boulder,273,11.35476352,62,QT,1,62,NA,961.9888889
025_0283,Hydrocorals,1,0.1562684228994636,1,26/11/2018 10:25,IN2018_V06_025,fished,1c,Pedra,63,147.1007329,-44.25118009,Rock,283,6.399245487,22,QT,1,22,NA,974.95
