image_key,CONCEPT,PCguess,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,SubstConc (17-7-19),IMAGE_NO,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,depth
116_0154,Solenosmilia matrix,3,9/12/2018 3:20,IN2018_V06_116,1,1,Hill U,83,147.1772019,-44.3248187,Coral rubble,154,8.677566784,6,QT,1,6,NA,1170.2
046_0496,Solenosmilia matrix,2,29/11/2018 6:00,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2413137,-44.25580189,Rock,496,9.899241446,91,QT-2,2,27,NA,1316.274286
155_0495,Solenosmilia matrix,5,13/12/2018 8:12,IN2018_V06_156,fished,1b,Corvina group N,30,147.2266459,-44.16294728,Coral rubble,495,3.003510828,52,QT,1,52,NA,1137.695
082_0319,Solenosmilia matrix,60,5/12/2018 11:52,IN2018_V06_082,1,1,Hill K1,41,147.39503,-44.29866236,Coral reef substrate,319,8.909556373,16,QT,1,16,NA,1483.3
045_0131,Solenosmilia matrix,5,29/11/2018 0:51,IN2018_V06_045,1,1,Hill K1,44,147.388677,-44.29067989,Rock,131,7.460174494,51,QT-2,2,19,NA,1378.1
114_0015,Solenosmilia matrix,100,9/12/2018 0:09,IN2018_V06_114,1a,1a,z16,35,147.0677111,-44.29131389,Coral reef substrate,15,3.501067601,9,QT,1,9,NA,NA
062_0210,Solenosmilia matrix,100,1/12/2018 11:01,IN2018_V06_062,1a,1a,z16,39,147.0677734,-44.28508074,Coral reef substrate,210,8.818304411,6,QT,1,6,NA,1302.871429
060_0270,Solenosmilia matrix,95,1/12/2018 5:39,IN2018_V06_060,1,1,Little Sister (z56),38,147.208774,-44.25050861,Coral reef substrate,270,5.126293713,17,QT,1,17,NA,1274.775
114_0058,Solenosmilia matrix,100,9/12/2018 0:13,IN2018_V06_114,1a,1a,z16,35,147.0684972,-44.29235278,Coral reef substrate,58,12.89067775,13,QT,1,13,NA,NA
060_0010,Solenosmilia matrix,100,1/12/2018 5:16,IN2018_V06_060,1,1,Little Sister (z56),38,147.2142512,-44.2549886,Coral reef substrate,10,13.44096378,4,QT,1,4,NA,1087.804444
117_0090,Solenosmilia matrix,15,9/12/2018 6:32,IN2018_V06_117,1,1,Hill U,34,147.1773783,-44.3200584,Coral rubble,90,2.650820322,29,QT,1,29,NA,1265.14
063_0359,Solenosmilia matrix,15,1/12/2018 13:40,IN2018_V06_063,1a,1a,z16,43,147.0660667,-44.28238833,Coral rubble,359,9.750181111,46,QT-2,2,14,NA,1414.5
063_0412,Solenosmilia matrix,10,1/12/2018 13:44,IN2018_V06_063,1a,1a,z16,43,147.0654898,-44.28116919,Coral rubble,412,8.738219778,50,QT-2,2,18,NA,1411.7
059_0106,Enallopsammia matrix,2,1/12/2018 4:16,IN2018_V06_059,fished,1c,Sisters,56,147.2351966,-44.2642082,Rock,106,6.74563484,23,QT,1,23,NA,949.3444444
082_0287,Solenosmilia matrix,60,5/12/2018 11:49,IN2018_V06_082,1,1,Hill K1,41,147.3939849,-44.29805784,Coral reef substrate,287,1.717195335,42,QT,1,42,NA,1500.585714
060_0128,Solenosmilia matrix,100,1/12/2018 5:27,IN2018_V06_060,1,1,Little Sister (z56),38,147.2119171,-44.25304238,Coral reef substrate,128,8.251072411,14,QT,1,14,NA,1282.3
062_0283,Solenosmilia matrix,90,1/12/2018 11:07,IN2018_V06_062,1a,1a,z16,39,147.0673049,-44.28354641,Coral reef substrate,283,3.456037158,18,QT,1,18,NA,1388.65625
061_0123,Solenosmilia matrix,5,1/12/2018 8:15,IN2018_V06_061,1,1,Hill U,38,147.1762203,-44.32316861,Coral reef substrate,123,3.083430641,1,QT,1,1,NA,1132.582906
116_0494,Solenosmilia matrix,25,9/12/2018 3:49,IN2018_V06_116,1,1,Hill U,83,147.1677569,-44.32989443,Coral rubble,494,3.912780706,43,QT,1,43,NA,1401.8
166_0062,Solenosmilia matrix,100,14/12/2018 15:05,IN2018_V06_166,1,1,z8,70,147.2880181,-44.20495292,Coral reef substrate,62,7.287462221,22,QT,1,22,NA,1076.96
051_0095,Solenosmilia matrix,100,30/11/2018 2:31,IN2018_V06_051,1,1,Hill K1,80,147.3885066,-44.29333069,Coral reef substrate,95,12.82485019,9,QT,1,9,NOT REPLACED,1296.322857
114_0251,Solenosmilia matrix,20,9/12/2018 0:29,IN2018_V06_114,1a,1a,z16,35,147.071225,-44.29645833,Coral rubble,251,1.30799708,22,QT,1,22,NA,NA
063_0332,Solenosmilia matrix,10,1/12/2018 13:37,IN2018_V06_063,1a,1a,z16,43,147.0662874,-44.28300327,Coral rubble,332,11.85545408,38,QT,1,38,NA,1410.4
118_0016,Solenosmilia matrix,100,9/12/2018 8:30,IN2018_V06_118,1,1,z34,44,147.1706387,-44.2802043,Coral reef substrate,16,12.81206857,1,QT,1,1,NA,1148.1
059_0427,Solenosmilia matrix,85,1/12/2018 4:43,IN2018_V06_059,fished,1c,Sisters,56,147.2264849,-44.26235374,Coral reef substrate,427,11.21665166,46,QT,1,46,NA,1268.311111
060_0329,Solenosmilia matrix,100,1/12/2018 5:44,IN2018_V06_060,1,1,Little Sister (z56),38,147.2072894,-44.24946241,Coral reef substrate,329,2.511267751,31,QT,1,31,NA,1271.811111
100_0538,Solenosmilia matrix,45,7/12/2018 16:12,IN2018_V06_100,1,1,slope,59,146.3492516,-44.1762576,Coral reef substrate,538,8.586535018,23,QT,1,23,NA,1365.06
127_0135,Solenosmilia matrix,60,10/12/2018 4:18,IN2018_V06_127,1b,1b,z4,46,147.224081,-44.21080085,Coral reef substrate,135,10.90427387,56,QT,1,56,replace?,1153.9
116_0520,Solenosmilia matrix,25,9/12/2018 3:51,IN2018_V06_116,1,1,Hill U,83,147.1670966,-44.33028365,Rock,520,5.626023462,23,QT,1,23,NA,1418.611111
031_0166,Solenosmilia matrix,100,26/11/2018 23:32,IN2018_V06_031,1,1,Hill U,41,147.1837899,-44.31706579,Coral reef substrate,166,7.131986854,29,QT,1,29,NA,1248.232317
123_0020,Solenosmilia matrix,100,9/12/2018 16:16,IN2018_V06_123,1,1,Hill V,34,147.1725799,-44.39474002,Coral reef substrate,20,4.423992882,27,QT,1,27,NA,1281.556
114_0053,Solenosmilia matrix,100,9/12/2018 0:12,IN2018_V06_114,1a,1a,z16,35,147.0684,-44.29221667,Coral reef substrate,53,4.302625073,29,QT,1,29,NA,NA
059_0392,Solenosmilia matrix,10,1/12/2018 4:40,IN2018_V06_059,fished,1c,Sisters,56,147.2275166,-44.26272014,Coral rubble,392,3.886421903,56,QT,1,56,NA,1255
125_0252,Solenosmilia matrix,30,9/12/2018 21:48,IN2018_V06_125,1a,1a,z16,36,147.0762724,-44.29256664,Rock,252,2.396430938,52,QT-2,2,36,NA,1388.36
054_0084,Solenosmilia matrix,100,30/11/2018 13:32,IN2018_V06_054,1,1,Hill K1,48,147.3849237,-44.29017038,Coral reef substrate,84,8.107214098,33,QT,1,33,NA,1285.142857
060_0246,Solenosmilia matrix,30,1/12/2018 5:37,IN2018_V06_060,1,1,Little Sister (z56),38,147.2093382,-44.25094705,Coral rubble,246,3.873677404,9,QT,1,9,NA,1281.233333
116_0051,Solenosmilia matrix,100,9/12/2018 3:11,IN2018_V06_116,1,1,Hill U,83,147.180995,-44.32338056,Coral reef substrate,51,5.750034714,2,QT,1,2,NA,1144.68
040_0640,Solenosmilia matrix,10,28/11/2018 10:44,IN2018_V06_040,fished,1c,Pedra,80,147.081212,-44.25588382,cobble - boulder,640,13.20325244,100,QT,1,100,NA,1122.2
155_0463,Solenosmilia matrix,35,13/12/2018 8:10,IN2018_V06_156,fished,1b,Corvina group N,30,147.2255674,-44.16336971,Coral rubble,463,4.242541226,108,QT-2,2,44,NA,1087.415
114_0101,Solenosmilia matrix,100,9/12/2018 0:17,IN2018_V06_114,1a,1a,z16,35,147.0692194,-44.29342778,Coral reef substrate,101,8.196620125,11,QT,1,11,NA,NA
100_0584,Solenosmilia matrix,75,7/12/2018 16:16,IN2018_V06_100,1,1,slope,59,146.3481854,-44.17765019,Coral reef substrate,584,7.7353015,15,QT,1,15,NA,1388.1
166_0106,Solenosmilia matrix,100,14/12/2018 15:09,IN2018_V06_166,1,1,z8,70,147.2893713,-44.20437878,Coral reef substrate,106,10.32370315,18,QT,1,18,NA,1156.96
114_0138,Solenosmilia matrix,100,9/12/2018 0:20,IN2018_V06_114,1a,1a,z16,35,147.0698167,-44.29429722,Coral reef substrate,138,4.258998023,31,QT,1,31,NA,NA
060_0306,Solenosmilia matrix,30,1/12/2018 5:42,IN2018_V06_060,1,1,Little Sister (z56),38,147.2078502,-44.24984694,Coral reef substrate,306,8.193379558,23,QT,1,23,NA,1270.888889
046_0574,Solenosmilia matrix,1,29/11/2018 6:07,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2418448,-44.25431059,Coral rubble,574,3.518678163,25,QT,1,25,NA,1350.091111
114_0208,Solenosmilia matrix,80,9/12/2018 0:26,IN2018_V06_114,1a,1a,z16,35,147.0708639,-44.2958,Coral reef substrate,208,2.529194038,18,QT,1,18,NA,NA
