SURVEY_OPS,image_key,ranSel_key,CONCEPT,Count,INDEX_RECORDED_TIMESTAMP,SVY_OPS,Transect Priority,NEW priority,MapLoc,Target RANSMPL (1/10),KF_USBL_LON,KF_USBL_LAT,Z,CONCEPT - OLD (note this was extract with some QC already done) - filling on Photos,SubstConc (17-7-19),IMAGE_NO,KEY_1,QUAD-Size,RANSEL_NO,RAN_SEL_STAT,"Selection round (1 orig sel, 2 replacement)",SelNo-NS replaced,COMMENTS,Dens
IN2018_V06_145,145_0392,145_006,Regular urchins,3,12/12/2018 3:56,IN2018_V06_145,2,2,z77,70,147.3972019,-44.25583543,1588.661905,Sand - mud (<2mm),Sand - mud (<2mm),392,145_0392,1.909802386,6,QT,1,6,NA,1.5708431521458996
IN2018_V06_092,092_0209,092_033,No-VMEfauna,0,6/12/2018 19:18,IN2018_V06_092,1b,1b,Main Matt,66,146.184029,-44.21205156,811.8571429,Rock,Rock,209,092_0209,2.530329671,33,QT,1,33,NA,0
IN2018_V06_177,177_0209,177_053,Sponges,4,16/12/2018 12:32,IN2018_V06_177,1b,1b,St Helens,68,148.7580707,-41.22473139,756.785,Coral rubble,Coral rubble,209,177_0209,2.505502763,53,QT,1,53,NA,1.5964859664375473
IN2018_V06_095,095_0484,095_032,Sponges,4,7/12/2018 1:42,IN2018_V06_095,1,1,z99,66,146.22415,-44.2599461,1495.88125,Sand - mud (<2mm),Sand - mud (<2mm),484,095_0484,5.950950455,32,QT,1,32,NA,0.6721615362532875
IN2018_V06_055,055_0440,055_022,Hydrocorals,1,30/11/2018 16:41,IN2018_V06_055,1,1,Hill K1,60,147.3776214,-44.30046638,1830.425,Rock,Rock,440,055_0440,8.447939893,22,QT,1,22,NA,0.11837205433109255
IN2018_V06_055,055_0440,055_022,Sponges,5,30/11/2018 16:41,IN2018_V06_055,1,1,Hill K1,60,147.3776214,-44.30046638,1830.425,Rock,Rock,440,055_0440,8.447939893,22,QT,1,22,NA,0.5918602716554627
IN2018_V06_133,133_0008,133_028,Hydrocorals,1,10/12/2018 17:53,IN2018_V06_133,2,2,slope,63,147.3331739,-44.08826297,786.7944444,Rock,Rock,8,133_0008,1.654884135,28,QT,1,28,NA,0.6042719117613633
IN2018_V06_133,133_0008,133_028,Black & Octocorals,2,10/12/2018 17:53,IN2018_V06_133,2,2,slope,63,147.3331739,-44.08826297,786.7944444,Rock,Rock,8,133_0008,1.654884135,28,QT,1,28,NA,1.2085438235227266
IN2018_V06_103,103_0247,103_009,No-VMEfauna,0,8/12/2018 3:35,IN2018_V06_103,2,5,slope,60,146.6669541,-44.10020503,559.7125,Pebble - gravel,Pebble - gravel,247,103_0247,3.066011506,9,QT,1,9,NA,0
IN2018_V06_174,174_0562,174_020,No-VMEfauna,0,16/12/2018 6:40,IN2018_V06_174,1b,1b,St Helens,77,148.767127,-41.21675628,994.06,Pebble - gravel,Pebble - gravel,562,174_0562,9.7886448,20,QT,1,20,NA,0
IN2018_V06_116,116_0154,116_006,Solenosmilia matrix,3,9/12/2018 3:20,IN2018_V06_116,1,1,Hill U,83,147.1772019,-44.3248187,1170.2,Coral rubble,Coral rubble,154,116_0154,8.677566784,6,QT,1,6,NA,0.3457190333045324
IN2018_V06_116,116_0154,116_006,Hydrocorals,1,9/12/2018 3:20,IN2018_V06_116,1,1,Hill U,83,147.1772019,-44.3248187,1170.2,Coral rubble,Coral rubble,154,116_0154,8.677566784,6,QT,1,6,NA,0.11523967776817746
IN2018_V06_116,116_0154,116_006,Black & Octocorals,2,9/12/2018 3:20,IN2018_V06_116,1,1,Hill U,83,147.1772019,-44.3248187,1170.2,Coral rubble,Coral rubble,154,116_0154,8.677566784,6,QT,1,6,NA,0.23047935553635493
IN2018_V06_133,133_0344,133_045,No-VMEfauna,0,10/12/2018 18:23,IN2018_V06_133,2,2,slope,63,147.3248631,-44.0972109,978.0875,Pebble - gravel,Pebble - gravel,344,133_0344,1.542546612,45,QT,1,45,NA,0
IN2018_V06_061,061_0211,061_040,Regular urchins,1,1/12/2018 8:23,IN2018_V06_061,1,1,Hill U,38,147.172636,-44.32461186,1260.754448,Rock,Rock,211,061_0211,4.029666804,40,QT-2,2,32,NA,0.2481594753708575
IN2018_V06_061,061_0211,061_040,Sponges,1,1/12/2018 8:23,IN2018_V06_061,1,1,Hill U,38,147.172636,-44.32461186,1260.754448,Rock,Rock,211,061_0211,4.029666804,40,QT-2,2,32,NA,0.2481594753708575
IN2018_V06_061,061_0211,061_040,Hydrocorals,1,1/12/2018 8:23,IN2018_V06_061,1,1,Hill U,38,147.172636,-44.32461186,1260.754448,Rock,Rock,211,061_0211,4.029666804,40,QT-2,2,32,NA,0.2481594753708575
IN2018_V06_097,097_0136,097_106,No-VMEfauna,0,7/12/2018 5:03,IN2018_V06_097,1b,1b,Main Matt,64,146.1679125,-44.21881843,1115.81875,Pebble - gravel,Pebble - gravel,136,097_0136,3.398079319,106,QT-2,2,42,NA,0
IN2018_V06_129,129_0247,129_008,Sponges,1,10/12/2018 7:59,IN2018_V06_129,2,2,slope,62,147.2296084,-44.13054542,1071.34,Rock,Rock,247,129_0247,2.404462701,8,QT,1,8,NA,0.4158933301748065
IN2018_V06_129,129_0247,129_008,Black & Octocorals,3,10/12/2018 7:59,IN2018_V06_129,2,2,slope,62,147.2296084,-44.13054542,1071.34,Rock,Rock,247,129_0247,2.404462701,8,QT,1,8,NA,1.2476799905244196
IN2018_V06_100,100_0151,100_050,No-VMEfauna,0,7/12/2018 15:39,IN2018_V06_100,1,1,slope,59,146.359281,-44.16394535,1238.9,Sand - mud (<2mm),Sand - mud (<2mm),151,100_0151,2.816022966,50,QT,1,50,NA,0
IN2018_V06_179,179_0690,179_060,Black & Octocorals,1,16/12/2018 17:38,IN2018_V06_179,1b,1b,St Helens,70,148.7408593,-41.22078646,994.9311111,Pebble - gravel,Pebble - gravel,690,179_0690,1.833716806,60,QT,1,60,MG-Q,0.545340478272303
IN2018_V06_182,182_0591,182_056,No-VMEfauna,0,17/12/2018 1:32,IN2018_V06_182,1b,1b,St Helens,66,148.7398772,-41.23578718,936.46,Rock,Coral rubble,591,182_0591,5.714662367,56,QT,1,56,MG-Q,0
IN2018_V06_109,109_0498,109_016,Stalked crinoids,4,8/12/2018 13:28,IN2018_V06_109,2,4,slope,69,146.8311945,-44.12222965,711.5375,Rock,Rock,498,109_0498,10.96797287,16,QT,1,16,NA,0.3646982033426565
IN2018_V06_109,109_0498,109_016,Hydrocorals,1,8/12/2018 13:28,IN2018_V06_109,2,4,slope,69,146.8311945,-44.12222965,711.5375,Rock,Rock,498,109_0498,10.96797287,16,QT,1,16,NA,0.09117455083566413
IN2018_V06_109,109_0498,109_016,Unstalked crinoids,3,8/12/2018 13:28,IN2018_V06_109,2,4,slope,69,146.8311945,-44.12222965,711.5375,Rock,Rock,498,109_0498,10.96797287,16,QT,1,16,NA,0.2735236525069924
IN2018_V06_109,109_0498,109_016,Black & Octocorals,2,8/12/2018 13:28,IN2018_V06_109,2,4,slope,69,146.8311945,-44.12222965,711.5375,Rock,Rock,498,109_0498,10.96797287,16,QT,1,16,NA,0.18234910167132826
IN2018_V06_046,046_0496,046_091,Solenosmilia matrix,2,29/11/2018 6:00,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2413137,-44.25580189,1316.274286,Rock,Rock,496,046_0496,9.899241446,91,QT-2,2,27,NA,0.20203568232070376
IN2018_V06_046,046_0496,046_091,Hydrocorals,1,29/11/2018 6:00,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2413137,-44.25580189,1316.274286,Rock,Rock,496,046_0496,9.899241446,91,QT-2,2,27,NA,0.10101784116035188
IN2018_V06_046,046_0496,046_091,S.variabilis,1,29/11/2018 6:00,IN2018_V06_046,4 - fished?,1c,Sisters,67,147.2413137,-44.25580189,1316.274286,Rock,Rock,496,046_0496,9.899241446,91,QT-2,2,27,NA,0.10101784116035188
IN2018_V06_186,186_0174,186_018,Sponges,1,17/12/2018 14:21,IN2018_V06_186,1b,1b,St Helens,66,148.7666162,-41.22996406,749.005,Pebble - gravel,Coral rubble,174,186_0174,4.202700902,18,QT,1,18,MG-Q,0.2379422241359397
IN2018_V06_075,075_0419,075_115,No-VMEfauna,0,4/12/2018 0:44,IN2018_V06_075,1b,1b,Main Matt,66,146.1757331,-44.2152322,975.5285714,Rock,Pebble - gravel,419,075_0419,5.881454379,115,QT-2,2,51,NA,0
IN2018_V06_092,092_0495,092_026,No-VMEfauna,0,6/12/2018 19:42,IN2018_V06_092,1b,1b,Main Matt,66,146.1757996,-44.20953356,994.3666667,Sand - mud (<2mm),Coral rubble,495,092_0495,1.706631317,26,QT,1,26,NA,0
IN2018_V06_155,155_0495,155_052,Solenosmilia matrix,5,13/12/2018 8:12,IN2018_V06_156,fished,1b,Corvina group N,30,147.2266459,-44.16294728,1137.695,Coral rubble,Coral rubble,495,155_0495,3.003510828,52,QT,1,52,NA,1.6647184865750715
IN2018_V06_155,155_0495,155_052,Hydrocorals,1,13/12/2018 8:12,IN2018_V06_156,fished,1b,Corvina group N,30,147.2266459,-44.16294728,1137.695,Coral rubble,Coral rubble,495,155_0495,3.003510828,52,QT,1,52,NA,0.33294369731501433
